1   0 -0.62 -1.62
2   -0.62 -1.62 0
3   -1.62 0 -0.62
4   -1 -1 -1
5   -1 -1 1
6   0 -0.62 1.62
7   -0.62 1.62 0
8   -1.62 0 0.62
9   -1 1 -1
10   -1 1 1
11   0 0.62 -1.62
12   0.62 -1.62 0
13   1.62 0 -0.62
14   1 -1 -1
15   1 -1 1
16   0 0.62 1.62
17   0.62 1.62 0
18   1.62 0 0.62
19   1 1 -1
20   1 1 1
Faces:
4 3 9 11 1.
17 19 11 9 7.
14 12 2 4 1.
13 14 1 11 19.
20 18 13 19 17.
7 9 3 8 10.
20 17 7 10 16.
6 15 18 20 16.
5 6 16 10 8.
6 5 2 12 15.
5 8 3 4 2.
12 14 13 18 15.
